id,username,password,first_name,last_name,email,birthday
40,robin,titan1,dick,grayson,robin@titan.com,28/04/1940
41,cyborg,titan2,victor,stone,cyborg@titan.com,26/10/1980
42,beast_boy,titan3,garfield,logan,bb@titan.com,09/11/1965
43,raven,titan4,rachel,roth,raven@titan.com,26/10/1980
44,starfire,titan5,kori,and'r,starfire@titan.com,26/10/1980
45,daredevil,defender1,matt,murdock,dd@defenders.com,01/04/1964
46,powerman,defender2,luke,cage,cage@defenders.com,01/06/1972
47,iron_fist,defender3,danny,rand,fist@defenders.com,01/05/1974
48,jewel,defender4,jessica,jones,jones@defenders.com,01/11/2001
49,punisher,loner1,frank,castle,castle@antihero.com,29/02/1974
